index,market balance,vault balance,bet count,in play count, total in play, total exposure
90095300,0,500000000,0,0,0,0
90095800,29341335,476658665,2,2,6000000,23341335
90096300,29341335,476658665,2,2,6000000,23341335
90096800,29341335,476658665,2,2,6000000,23341335
90097300,29341335,476658665,2,2,6000000,23341335
90097800,29341335,476658665,2,2,6000000,23341335
90098300,29341335,476658665,2,2,6000000,23341335
90098800,29341335,476658665,2,2,6000000,23341335
90099300,29341335,476658665,2,2,6000000,23341335
90099800,29341335,476658665,2,2,6000000,23341335
90100300,29341335,476658665,2,2,6000000,23341335
90100800,29341335,476658665,2,2,6000000,23341335
90101300,29341335,476658665,2,2,6000000,23341335
90101800,29341335,476658665,2,2,6000000,23341335
90102300,29341335,476658665,2,2,6000000,23341335
90102800,29341335,476658665,2,2,6000000,23341335
90103300,29341335,476658665,2,2,6000000,23341335
90103800,29341335,476658665,2,2,6000000,23341335
90104300,29341335,476658665,2,2,6000000,23341335
90104800,29341335,476658665,2,2,6000000,23341335
90105300,29341335,476658665,2,2,6000000,23341335
90105800,29341335,476658665,2,2,6000000,23341335
90106300,29341335,476658665,2,2,6000000,23341335
90106800,29341335,476658665,2,2,6000000,23341335
90107300,29341335,476658665,2,2,6000000,23341335
90107800,29341335,476658665,2,2,6000000,23341335
90108300,29341335,476658665,2,2,6000000,23341335
90108800,29341335,476658665,2,2,6000000,23341335
90109300,29341335,476658665,2,2,6000000,23341335
90109800,29341335,476658665,2,2,6000000,23341335
90110300,29341335,476658665,2,2,6000000,23341335
90110800,29341335,476658665,2,2,6000000,23341335
90111300,29341335,476658665,2,2,6000000,23341335
90111800,29341335,476658665,2,2,6000000,23341335
90112300,29341335,476658665,2,2,6000000,23341335
90112800,29341335,476658665,2,2,6000000,23341335
90113300,29341335,476658665,2,2,6000000,23341335
90113800,29341335,476658665,2,2,6000000,23341335
90114300,29341335,476658665,2,2,6000000,23341335
90114800,29341335,476658665,2,2,6000000,23341335
90115300,29341335,476658665,2,2,6000000,23341335
90115800,29341335,476658665,2,2,6000000,23341335
90116300,29341335,476658665,2,2,6000000,23341335
90116800,29341335,476658665,2,2,6000000,23341335
90117300,29341335,476658665,2,2,6000000,23341335
90117800,29341335,476658665,2,2,6000000,23341335
90118300,29341335,476658665,2,2,6000000,23341335
90118800,29341335,476658665,2,2,6000000,23341335
90119300,29341335,476658665,2,2,6000000,23341335
90119800,29341335,476658665,2,2,6000000,23341335
90120300,29341335,476658665,2,2,6000000,23341335
90120800,29341335,476658665,2,2,6000000,23341335
90121300,29341335,476658665,2,2,6000000,23341335
90121800,29341335,476658665,2,2,6000000,23341335
90122300,29341335,476658665,2,2,6000000,23341335
90122800,29341335,476658665,2,2,6000000,23341335
90123300,29341335,476658665,2,2,6000000,23341335
90123800,38687471,469312529,3,3,8000000,30687471
90124300,38687471,469312529,3,3,8000000,30687471
90124800,103344669,420655331,6,6,24000000,79344669
90125300,103344669,420655331,6,6,24000000,79344669
90125800,103344669,420655331,6,6,24000000,79344669
90126300,127385637,399614363,7,7,27000000,100385637
90126800,127385637,399614363,7,7,27000000,100385637
90127300,127385637,399614363,7,7,27000000,100385637
90127800,127385637,399614363,7,7,27000000,100385637
90128300,127385637,399614363,7,7,27000000,100385637
90128800,127385637,399614363,7,7,27000000,100385637
90129300,127385637,399614363,7,7,27000000,100385637
90129800,127385637,399614363,7,7,27000000,100385637
90130300,127385637,399614363,7,7,27000000,100385637
90130800,127385637,399614363,7,7,27000000,100385637
90131300,127385637,399614363,7,7,27000000,100385637
90131800,127385637,399614363,7,7,27000000,100385637
90132300,127385637,399614363,7,7,27000000,100385637
90132800,127385637,399614363,7,7,27000000,100385637
90133300,127385637,399614363,7,7,27000000,100385637
90133800,127385637,399614363,7,7,27000000,100385637
90134300,127385637,399614363,7,7,27000000,100385637
90134800,127385637,399614363,7,7,27000000,100385637
90135300,127385637,399614363,7,7,27000000,100385637
90135800,127385637,399614363,7,7,27000000,100385637
90136300,127385637,399614363,7,7,27000000,100385637
90136800,127385637,399614363,7,7,27000000,100385637
90137300,157760391,372239609,8,8,30000000,127760391
90137800,179046159,356953841,10,10,36000000,143046159
90138300,179046159,356953841,10,10,36000000,143046159
90138800,179046159,356953841,10,10,36000000,143046159
90139300,179046159,356953841,10,10,36000000,143046159
90139800,179046159,356953841,10,10,36000000,143046159
90140300,179046159,356953841,10,10,36000000,143046159
90140800,179046159,356953841,10,10,36000000,143046159
90141300,179046159,356953841,10,10,36000000,143046159
90141800,179046159,356953841,10,10,36000000,143046159
90142300,179046159,356953841,10,10,36000000,143046159
90142800,179046159,356953841,10,10,36000000,143046159
90143300,179046159,356953841,10,10,36000000,143046159
90143800,179046159,356953841,10,10,36000000,143046159
90144300,179046159,356953841,10,10,36000000,143046159
90144800,179046159,356953841,10,10,36000000,143046159
90145300,179046159,356953841,10,10,36000000,143046159
90145800,179046159,356953841,10,10,36000000,143046159
90146300,179046159,356953841,10,10,36000000,143046159
90146800,179046159,356953841,10,10,36000000,143046159
90147300,179046159,356953841,10,10,36000000,143046159
90147800,179046159,356953841,10,10,36000000,143046159
90148300,179046159,356953841,10,10,36000000,143046159
90148800,179046159,356953841,10,10,36000000,143046159
90149300,179046159,356953841,10,10,36000000,143046159
90149800,179046159,356953841,10,10,36000000,143046159
90150300,179046159,356953841,10,10,36000000,143046159
90150800,179046159,356953841,10,10,36000000,143046159
90151300,179046159,356953841,10,10,36000000,143046159
90151800,179046159,356953841,10,10,36000000,143046159
90152300,179046159,356953841,10,10,36000000,143046159
90152800,216621232,326378768,12,12,43000000,173621232
90153300,252149772,293850228,14,14,46000000,206149772
90153800,252149772,293850228,14,14,46000000,206149772
90154300,252149772,293850228,14,14,46000000,206149772
90154800,252149772,293850228,14,14,46000000,206149772
90155300,252149772,293850228,14,14,46000000,206149772
90155800,252149772,293850228,14,14,46000000,206149772
90156300,252149772,293850228,14,14,46000000,206149772
90156800,252149772,293850228,14,14,46000000,206149772
90157300,252149772,293850228,14,14,46000000,206149772
90157800,252149772,293850228,14,14,46000000,206149772
90158300,252149772,293850228,14,14,46000000,206149772
90158800,252149772,293850228,14,14,46000000,206149772
90159300,252149772,293850228,14,14,46000000,206149772
90159800,252149772,293850228,14,14,46000000,206149772
90160300,252149772,293850228,14,14,46000000,206149772
90160800,252149772,293850228,14,14,46000000,206149772
90161300,252149772,293850228,14,14,46000000,206149772
90161800,252149772,293850228,14,14,46000000,206149772
90162300,252149772,293850228,14,14,46000000,206149772
90162800,252149772,293850228,14,14,46000000,206149772
90163300,252149772,293850228,14,14,46000000,206149772
90163800,252149772,293850228,14,14,46000000,206149772
90164300,252149772,293850228,14,14,46000000,206149772
90164800,252149772,293850228,14,14,46000000,206149772
90165300,252149772,293850228,14,14,46000000,206149772
90165800,252149772,293850228,14,14,46000000,206149772
90166300,252149772,293850228,14,14,46000000,206149772
90166800,252149772,293850228,14,14,46000000,206149772
90167300,252149772,293850228,14,14,46000000,206149772
90167800,252149772,293850228,14,14,46000000,206149772
90168300,252149772,293850228,14,14,46000000,206149772
90168800,252149772,293850228,14,14,46000000,206149772
90169300,252149772,293850228,14,14,46000000,206149772
90169800,252149772,293850228,14,14,46000000,206149772
90170300,252149772,293850228,14,14,46000000,206149772
90170800,252149772,293850228,14,14,46000000,206149772
90171300,252149772,293850228,14,14,46000000,206149772
90171800,252149772,293850228,14,14,46000000,206149772
90172300,252149772,293850228,14,14,46000000,206149772
90172800,252149772,293850228,14,14,46000000,206149772
90173300,252149772,293850228,14,14,46000000,206149772
90173800,252149772,293850228,14,14,46000000,206149772
90174300,252149772,293850228,14,14,46000000,206149772
90174800,252149772,293850228,14,14,46000000,206149772
90175300,252149772,293850228,14,14,46000000,206149772
90175800,252149772,293850228,14,14,46000000,206149772
90176300,252149772,293850228,14,14,46000000,206149772
90176800,252149772,293850228,14,14,46000000,206149772
90177300,252149772,293850228,14,14,46000000,206149772
90177800,252149772,293850228,14,14,46000000,206149772
90178300,252149772,293850228,14,14,46000000,206149772
90178800,252149772,293850228,14,14,46000000,206149772
90179300,252149772,293850228,14,14,46000000,206149772
90179800,252149772,293850228,14,14,46000000,206149772
90180300,252149772,293850228,14,14,46000000,206149772
90180800,252149772,293850228,14,14,46000000,206149772
90181300,252149772,293850228,14,14,46000000,206149772
90181800,252149772,293850228,14,14,46000000,206149772
90182300,252149772,293850228,14,14,46000000,206149772
90182800,252149772,293850228,14,14,46000000,206149772
90183300,252149772,293850228,14,14,46000000,206149772
90183800,252149772,293850228,14,14,46000000,206149772
90184300,252149772,293850228,14,14,46000000,206149772
90184800,252149772,293850228,14,14,46000000,206149772
90185300,252149772,293850228,14,14,46000000,206149772
90185800,252149772,293850228,14,14,46000000,206149772
90186300,252149772,293850228,14,14,46000000,206149772
90186800,252149772,293850228,14,14,46000000,206149772
90187300,252149772,293850228,14,14,46000000,206149772
90187800,252149772,293850228,14,14,46000000,206149772
90188300,252149772,293850228,14,14,46000000,206149772
90188800,261693002,286306998,15,15,48000000,213693002
90189300,261693002,286306998,15,15,48000000,213693002
90189800,261693002,286306998,15,15,48000000,213693002
90190300,261693002,286306998,15,15,48000000,213693002
90190800,261693002,286306998,15,15,48000000,213693002
90191300,261693002,286306998,15,15,48000000,213693002
90191800,261693002,286306998,15,15,48000000,213693002
90192300,261693002,286306998,15,15,48000000,213693002
90192800,261693002,286306998,15,15,48000000,213693002
90193300,261693002,286306998,15,15,48000000,213693002
90193800,261693002,286306998,15,15,48000000,213693002
90194300,261693002,286306998,15,15,48000000,213693002
90194800,261693002,286306998,15,15,48000000,213693002
90195300,261693002,286306998,15,15,48000000,213693002
90195800,272592347,278407653,16,16,51000000,221592347
90196300,307796813,246203187,17,17,54000000,253796813
90196800,307796813,246203187,17,17,54000000,253796813
90197300,307796813,246203187,17,17,54000000,253796813
90197800,307796813,246203187,17,17,54000000,253796813
90198300,307796813,246203187,17,17,54000000,253796813
90198800,307796813,246203187,17,17,54000000,253796813
90199300,307796813,246203187,17,17,54000000,253796813
90199800,307796813,246203187,17,17,54000000,253796813
90200300,307796813,246203187,17,17,54000000,253796813
90200800,307796813,246203187,17,17,54000000,253796813
90201300,307796813,246203187,17,17,54000000,253796813
90201800,307796813,246203187,17,17,54000000,253796813
90202300,307796813,246203187,17,17,54000000,253796813
90202800,307796813,246203187,17,17,54000000,253796813
90203300,307796813,246203187,17,17,54000000,253796813
90203800,307796813,246203187,17,17,54000000,253796813
90204300,307796813,246203187,17,17,54000000,253796813
90204800,307796813,246203187,17,17,54000000,253796813
90205300,322545869,235454131,18,18,58000000,264545869
90205800,322545869,235454131,18,18,58000000,264545869
90206300,322545869,235454131,18,18,58000000,264545869
90206800,322545869,235454131,18,18,58000000,264545869
90207300,322545869,235454131,18,18,58000000,264545869
